Orig_empl,Employer,Interest2
Health Action New Mexico,HEALTHCARE Action New Mexico,HEALTHCARE
Health Leadership High School,Health Leadership High School,EDUCATION
Health Management Systems,HEALTHCARE Management Systems,HEALTHCARE
Health Security for New Mexicans Campaign,HEALTHCARE Security for New Mexicans Campaign,HEALTHCARE
Health Services Academy,HEALTHCARE Services Academy,HEALTHCARE
"Health Tech Solutions, LLC","Health Tech Solutions, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Healthcare Distribution Alliance,HEALTHCARE Distribution Alliance,HEALTHCARE
"Healthy Children Project, Inc. c/o MultiState Associates Inc.","Healthy Children Project, Inc. c/o MultiState Associates Inc.","SENIOR, FAMILY & YOUTH ADVOCACY"
Healthy Futures Inc.,Healthy Futures Inc.,EDUCATION
Hedrick Consulting,Hedrick Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Herbalife ,Herbalife ,RETAIL & CONSUMER RIGHTS
"Heritage Hotels & Resorts, Inc.","Heritage Hotels & Resorts, Inc.",TOURISM
Heroes Housing Alliance,Heroes Housing Alliance,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Hewlett Packard Enterpise,Hewlett Packard Enterpise,INFORMATION TECHNOLOGY
Hewlett-Packard Company,Hewlett-Packard Company,INFORMATION TECHNOLOGY
Hideout of Lincoln County,Hideout of Lincoln County,OTHER
Hispanic Communities Democratic Caucus of Northern New Mexico,Hispanic Communities Democratic Caucus of Northern New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Hispanic Cultural Center,Hispanic Cultural Center,ARTS & CULTURE
Hispanic Cultural Center Foundation,Hispanic Cultural Center Foundation,ARTS & CULTURE
HME Specialists LLC.,HME Specialists LLC.,HEALTHCARE
"HME Specialists, Inc.","HME Specialists, Inc.",HEALTHCARE
"HME Specialists, LLC","HME Specialists, LLC",HEALTHCARE
Hobson Consulting,Hobson Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Holly Energy Partners, L.P.","Holly Energy Partners, L.P.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
HollyFrontier Companies,HollyFrontier Companies,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
HollyFrontier Corporation,HollyFrontier Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
HollyFrontier Navajo Refinery,HollyFrontier Navajo Refinery,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Holtec International,Holtec International,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Home Builders Association of Central New Mexico ,Home Builders Association of Central New Mexico ,REAL ESTATE & CONSTRUCTION
Homebuilders of Central New Mexico ,Homebuilders of Central New Mexico ,REAL ESTATE & CONSTRUCTION
Homestake Mining Company,Homestake Mining Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Honda North America, Inc. ","Honda North America, Inc. ",TRANSPORTATION
"Honeywell International, Inc.","Honeywell International, Inc.",INDUSTRY
"Honorable Seth Damon,, Speaker, 24th Navajo Nation Council","Honorable Seth Damon,, Speaker, 24th Navajo Nation Council",TRIBAL GOVERNMENT
"Horizon Ag-Products, L.P.","Horizon Ag-Products, L.P.",RANCHING & AGRICULTURE
Horizons Albuquerque,Horizons Albuquerque,EDUCATION
Horizons of New Mexico,Horizons of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Hospital Services Corporation,Hospital Services Corporation,HEALTHCARE
Hot Springs Land Development,Hot Springs Land Development,REAL ESTATE & CONSTRUCTION
Hull Consulting LLC,Hull Consulting LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Humana ,Humana ,INSURANCE
"Hunt Power, LP","Hunt Power, LP","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Hunt Transmission Services, LLC","Hunt Transmission Services, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
IAFF,International Association of Fire Fighters,LABOR & WORKFORCE
IAFF 244,International Association of Fire Fighters,LABOR & WORKFORCE
IATSE,IATSE,FILM
IATSE Local 480,IATSE Local 480,FILM
Iberdrola Renewables LLC,Iberdrola Renewables LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"ICA, LTD,","ICA, LTD,",RANCHING & AGRICULTURE
ID Theft Resolutions,ID Theft Resolutions,LAW ENFORCEMENT & CRIME
IGT and Its Affiliates,IGT and Its Affiliates,CASINO & GAMING
Independent Community Bankers Association of NM,Independent Community Bankers Association of NM,BANKING & FINANCE
Independent Insurance Agents of New Mexico,Independent Insurance Agents of New Mexico,INSURANCE
Independent Petroleum Association of NM,Independent Petroleum Association of NM,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Indian Pueblo Cultural Center & Indian Pueblos ,Indian Pueblo Cultural Center & Indian Pueblos ,ARTS & CULTURE
"Indian Pueblos Marketing, Inc.","Indian Pueblos Marketing, Inc.",ARTS & CULTURE
Indivior Inc,Indivior Inc,PHARMACEUTICALS
Indivor PLC,Indivior Inc,PHARMACEUTICALS
"Indivor, PLC",Indivior Inc,PHARMACEUTICALS
Indoor Tanning Association,Indoor Tanning Association,RETAIL & CONSUMER RIGHTS
Innovage,Innovage,HEALTHCARE
Innovate + Educate,Innovate + Educate,EDUCATION
Innovate ABQ,Innovate ABQ,ECONOMIC & SUSTAINABLE DEVELOPMENT
"Inquiry Facilitators, INC.","Inquiry Facilitators, INC.",EDUCATION
"Inspire Brands,Inc","Inspire Brands,Inc","RESTAURANT, FOOD & BEVERAGE "
Institute for American Indian Arts,Institute for American Indian Arts,EDUCATION
Institute for Justice,Institute for Justice,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Institute of American Arts,Institute of American Arts,ARTS & CULTURE
"Insurance Auto Auctions, Inc.","Insurance Auto Auctions, Inc.",INSURANCE
Intel Corporation,Intel Corporation,INFORMATION TECHNOLOGY
Intercontinental Potash Corp,Intercontinental Potash Corp,RANCHING & AGRICULTURE
Intercontinental Potash Corp.,Intercontinental Potash Corp.,RANCHING & AGRICULTURE
"International Alliance of Theatrical Stage Employees,, Local 480","International Alliance of Theatrical Stage Employees,, Local 480",FILM
International Association of Fire Fighters,International Association of Fire Fighters,LABOR & WORKFORCE
International Chiropractic Association,International Chiropractic Association,HEALTHCARE
International Interior Design Association,International Interior Design Association,REAL ESTATE & CONSTRUCTION
Internet Association,Internet Association,INFORMATION TECHNOLOGY
"Interop-Solutions, LLC","Interop-Solutions, LLC",TELECOM
Interwest Energy Alliance ,Interwest Energy Alliance ,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Intralot, USA","Intralot, USA",CASINO & GAMING
"Intrepid Potash, Inc","Intrepid Potash, Inc",RANCHING & AGRICULTURE
"Invenergy, LLC","Invenergy, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Inverse Medical Inc.,Inverse Medical Inc.,HEALTHCARE
INVO PEO,INVO PEO,LABOR & WORKFORCE
IT Connect,IT Connect,INFORMATION TECHNOLOGY
ITC Holdings Corp.,ITC Holdings Corp.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
JAC Associates,JAC Associates,INFORMATION TECHNOLOGY
"Jack D Cook, dba Navajo Trading Company","Jack D Cook, dba Navajo Trading Company",RETAIL & CONSUMER RIGHTS
"Jackson Vaughn Public Strategies, LLC","Jackson Vaughn Public Strategies, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Janet Porter Carrejo,Janet Porter Carrejo,OTHER
JD Bullington Government Relations,JD Bullington Government Relations,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Jemez Mountain Electric Cooporation, Inc.","Jemez Mountain Electric Cooporation, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Jetstream Energy Technologies, Inc.","Jetstream Energy Technologies, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Jetstream Wind, Inc. ","Jetstream Wind, Inc. ",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Jicarilla Apache Nation,Jicarilla Apache Nation,TRIBAL GOVERNMENT
Jobe Materials L.P.,Jobe Materials L.P.,REAL ESTATE & CONSTRUCTION
"Jobs for All New Mexico, Inc.","Jobs for All New Mexico, Inc.",LABOR & WORKFORCE
Jobs for America's Graduates-New Mexico,Jobs for America's Graduates-New Mexico,LABOR & WORKFORCE
Joe Thompson,Joe Thompson,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"John L. Thompson Jr., Consulting Inc","John L. Thompson Jr., Consulting Inc","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
John Lee Thompson,"John L. Thompson Jr., Consulting Inc","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Johnson & Johnson, Inc. ","Johnson & Johnson, Inc. ",PHARMACEUTICALS
"Johnson Controls, Inc. ","Johnson Controls, Inc. ",REAL ESTATE & CONSTRUCTION
"Judith Anne Williams, Ind.","Judith Anne Williams, Ind.",OTHER
Julianna Koob,Julianna Koob,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Junior Achievement of New Mexico,Junior Achievement of New Mexico,EDUCATION
Justice for Landowners,Justice for Landowners,REAL ESTATE & CONSTRUCTION
"Juul Labs, Inc.","Juul Labs, Inc.","ALCOHOL, CANNABIS, & TOBACCO"
"K.L. House Construction Co., Inc.","K.L. House Construction Co., Inc.",REAL ESTATE & CONSTRUCTION
"K12, Inc.","K12, Inc.",EDUCATION
Kairos Aerospace,Kairos Aerospace,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Karin Foster Chatham Partners,Karin Foster Chatham Partners,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Kasdan Lippsmith Webber Truner, LLP","Kasdan Lippsmith Webber Truner, LLP","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Kenny Thomas Enterprise,Kenny Thomas Enterprise,TRANSPORTATION
"Kent Cravens Consulting, LLC","Kent Cravens Consulting, LLC",REAL ESTATE & CONSTRUCTION
Keshet Dance Company,Keshet Dance Company,ARTS & CULTURE
Kewa Pueblo,Kewa Pueblo,TRIBAL GOVERNMENT
"KFoster Associates, LLC","KFoster Associates, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Kinder Morgan Energy Partners, L.P.","Kinder Morgan Energy Partners, L.P.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"King Industries, Corporation","King Industries, Corporation",INDUSTRY
Kirtland Partnership Committee,Kirtland Partnership Committee,MILITARY  & VETERANS
"Kit Carson Energy, Inc.","Kit Carson Energy, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Koi Environmental, Inc.","Koi Environmental, Inc.",WATER RESOURCES
"Kolb Bioenergy NMI, LLC","Kolb Bioenergy NMI, LLC",RANCHING & AGRICULTURE
"Kuper, Smith & Assoc.","Kuper, Smith & Assoc.","RESTAURANT, FOOD & BEVERAGE "
L & F Distributors,L & F Distributors,"ALCOHOL, CANNABIS, & TOBACCO"
"L & F Distributors, LLC.",L & F Distributors,"ALCOHOL, CANNABIS, & TOBACCO"
La Academia de Esperanza,La Academia de Esperanza,EDUCATION
La Acequia de llano de Santa Cruz ,La Acequia de llano de Santa Cruz ,WATER RESOURCES
La Acequia de Santa Cruz ,La Acequia de Santa Cruz ,WATER RESOURCES
La Familia Inc.,La Familia Inc.,HEALTHCARE
La Familia Namaste,La Familia Namaste,"SENIOR, FAMILY & YOUTH ADVOCACY"
"La Familia, Inc. ",La Familia Inc.,HEALTHCARE
La Mesa Community Improvement Association,La Mesa Community Improvement Association,REAL ESTATE & CONSTRUCTION
La mesa Community Land Trust,La mesa Community Land Trust,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
La Promesa Early Learning Center,La Promesa Early Learning Center,EDUCATION
Laborers International Union of North America Location #16,Laborers International Union of North America Location #16,LABOR & WORKFORCE
Laguna Development Corp.,Laguna Development Corp.,CASINO & GAMING
LANL Foundation,LANL Foundation,EDUCATION
LANL Major Subcontractors Consortium,LANL Major Subcontractors Consortium,ECONOMIC & SUSTAINABLE DEVELOPMENT
Laramide Resources Ltd.,Laramide Resources Ltd.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Laramide Resources, Ltd.",Laramide Resources Ltd.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Las Cruces Public Schools,Las Cruces Public Schools,EDUCATION
Las UVAS Valley Dairy,Las UVAS Valley Dairy,RANCHING & AGRICULTURE
Las Vegas City School District,Las Vegas City School District,EDUCATION
LatinGroup,LatinGroup,FILM
Laureate Education c/o Multistate Associates Inc.,Laureate Education c/o Multistate Associates Inc.,EDUCATION
Law Office of the Public Defender,Law Office of the Public Defender,LAW ENFORCEMENT & CRIME
Lawrence J. Horan ,Lawrence J. Horan ,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Lea County,Lea County,CITY & COUNTY GOVERNMENT
Lea County Refinery,Lea County Refinery,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
League of Women Voters of New mexico,League of Women Voters-New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
League of Women Voters-New Mexico,League of Women Voters-New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
League of Women Voters-Santa Fe County,League of Women Voters-New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Lee Ranch Coal Company-Peabody Energy,Lee Ranch Coal Company-Peabody Energy,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Legislative Branch-Office of the Speaker- Navajo Nation Council,Legislative Branch-Office of the Speaker- Navajo Nation Council,TRIBAL GOVERNMENT
Lenscrafters and Pearl Vision,Lenscrafters and Pearl Vision,RETAIL & CONSUMER RIGHTS
Lensic Performing Arts Center,Lensic Performing Arts Center,ARTS & CULTURE
LES,Louisiana Energy Services & Uranium Enrichment ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Level 3,Level 3,TELECOM
Liberty Mutual Insurance Group,Liberty Mutual Insurance Group,INSURANCE
"Life ROOTS, Inc.","Life ROOTS, Inc.",CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Lightning Dock Geothermal, LLC","Lightning Dock Geothermal, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Lilly Corportate Center,Lilly Corportate Center,PHARMACEUTICALS
Linda Sechovec,Linda Sechovec,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Linda Siegle,Linda Siegle,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Lisa Ann Deweese,Lisa Ann Deweese,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Literacy Volunteers of Santa Fe,Literacy Volunteers of Santa Fe,EDUCATION
LittleFly Labs PBC,LittleFly Labs PBC,HEALTHCARE
"Living Cross Ambulance Service, Inc.","Living Cross Ambulance Service, Inc.",HEALTHCARE
LJQ Agency,LJQ Agency,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
LKQ Corporation,LKQ Corporation,TRANSPORTATION
"Llano Verde Coalition, LLC","Llano Verde Coalition, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Lockridge Grindal Nauen P.L.L.P,Lockridge Grindal Nauen P.L.L.P,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Los Alamos County ,Los Alamos County ,CITY & COUNTY GOVERNMENT
Los Alamos Medical Center,Los Alamos Medical Center,HEALTHCARE
Los Alamos National Laboratory,Los Alamos National Laboratory,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Los Cuates Consulting, LLC","Los Cuates Consulting, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Los de Mora Local Growers' Cooperative ,Los de Mora Local Growers' Cooperative ,RANCHING & AGRICULTURE
Los Puentes Charter School,Los Puentes Charter School,EDUCATION
Louisiana Energy Services & Uranium Enrichment ,Louisiana Energy Services & Uranium Enrichment ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Lovelace Clinic Foundation d/b/a LCF Research,Lovelace Clinic Foundation d/b/a LCF Research,INDUSTRY
Lovelace Health Systems,Lovelace HEALTHCARE Systems,HEALTHCARE
Lovelace Respiratory Research Institute,Lovelace Respiratory Research Institute,HEALTHCARE
Lovelace Scientific Resources,Lovelace Scientific Resources,HEALTHCARE
Lower Rio Grande Water Works Authority ,Lower Rio Grande Water Works Authority ,WATER RESOURCES
LS POWER,LS POWER,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"LSP Transmission Holding, LLC","LSP Transmission Holding, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Lucky 33,Lucky 33,"ALCOHOL, CANNABIS, & TOBACCO"
"Lucky Corridor, LLC","Lucky Corridor, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Lyft, Inc.","Lyft, Inc.",TRANSPORTATION
Mack Energy Corp,Mack Energy Corp,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Madius, Inc. ","Madius, Inc. ",OTHER
Magellan Health Services,Magellan HEALTHCARE Services,HEALTHCARE
"Maggie's Farm, LLC.","Maggie's Farm, LLC.","ALCOHOL, CANNABIS, & TOBACCO"
Mahindra Satyam,Mahindra Satyam,INFORMATION TECHNOLOGY
Management & Training Corp.,Management & Training Corp.,"RESTAURANT, FOOD & BEVERAGE "
Manheim Auctions,Manheim Auctions,TRANSPORTATION
Marathon Oil Company ,Marathon Oil Company ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Marathon Petroleum Corporation,Marathon Petroleum Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
March of Dimes Foundation,March of Dimes Foundation,HEALTHCARE
"March of Dimes, New Mexico Chapter ","March of Dimes, New Mexico Chapter ",HEALTHCARE
Mark Duran and Associates,Mark Duran and Associates,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Mark Duran and Associates, Inc.",Mark Duran and Associates,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Mark43,Mark43,INFORMATION TECHNOLOGY
Match New Mexico ,Match New Mexico ,EDUCATION
Materion Corporation,Materion Corporation,INDUSTRY
"Maximus, Inc.","Maximus, Inc.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Mayors Against Illegal Guns Action Fund,Mayors Against Illegal Guns Action Fund,"FIREARMS, GUNS & AMMUNITION"
MB Community Ditch Association,MB Community Ditch Association,WATER RESOURCES
McClinchey Stafford PLLC,McClinchey Stafford PLLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
McDonalds Albuquerque Coop,McDonalds Albuquerque Coop,"RESTAURANT, FOOD & BEVERAGE "
McKinley County,McKinley County,CITY & COUNTY GOVERNMENT
McKinley Paper Company,McKinley Paper Company,INDUSTRY
McLane Company Inc.,McLane Company Inc.,"RESTAURANT, FOOD & BEVERAGE "
"McLane Company, Inc.","McLane Company, Inc.","RESTAURANT, FOOD & BEVERAGE "
MCNA Dental ,MCNA Dental ,HEALTHCARE
Media Arts Collaborative Charter School,Media Arts Collaborative Charter School,EDUCATION
Mediadesk,Mediadesk,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
"Medical and Prescribing Psychologists Association of New Mexico, Inc.","Medical and Prescribing Psychologists Association of New Mexico, Inc.",HEALTHCARE
"Medius, Inc. ","Medius, Inc. ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Medlmmune, Inc.","Medlmmune, Inc.",PHARMACEUTICALS
"Medtronic, Inc.","Medtronic, Inc.",HEALTHCARE
Memorial Medical Center,Memorial Medical Center,HEALTHCARE
Merck Sharp & Dohme Corp. & ITS Affiliates,Merck Sharp & Dohme Corp. & ITS Affiliates,PHARMACEUTICALS
"Mesa Del Sol, LLC","Mesa Del Sol, LLC",REAL ESTATE & CONSTRUCTION
Mesalands Community College Foundation,Mesalands Community College Foundation,EDUCATION
"Mescalero Apache Telecom, Inc. ","Mescalero Apache Telecom, Inc. ",TELECOM
Mescalero Apache Tribe,Mescalero Apache Tribe,TRIBAL GOVERNMENT
Mesilla Valley Hospital,Mesilla Valley Hospital,HEALTHCARE
Mesita Juana Lopez Land Grant and other Land Grant,Mesita Juana Lopez Land Grant and other Land Grant,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Microsoft Corporation,Microsoft Corporation,INFORMATION TECHNOLOGY
Mid Region Council of Governments,Mid Region Council of Governments,CITY & COUNTY GOVERNMENT
Middle College High School,Middle College High School,EDUCATION
Middle Rio Grande Conservancy District,Middle Rio Grande Conservancy District,WATER RESOURCES
Midwest Finance,Midwest Finance,BANKING & FINANCE
Military Order of the Purple Heart,Military Order of the Purple Heart,MILITARY  & VETERANS
"Mineris Vitae, LLC","Mineris Vitae, LLC","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Minerva,Minerva,"ALCOHOL, CANNABIS, & TOBACCO"
Molina Healthcare,Molina HEALTHCARE,HEALTHCARE
Molina Healthcare Inc.,Molina HEALTHCARE,HEALTHCARE
Molina Healthcare of New Mexico,Molina HEALTHCARE,HEALTHCARE
"Montgomery & Andrews, P.A.","Montgomery & Andrews, P.A.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Moongate Water Company,Moongate Water Company,WATER RESOURCES
Mora County Economic Development Corporation ,Mora County Economic Development Corporation ,ECONOMIC & SUSTAINABLE DEVELOPMENT
Mora Independent Schools,Mora Independent Schools,EDUCATION
Mothers Against Drunk Drivers,Mothers Against Drunk Drivers,TRANSPORTATION
Motion Picture Association of America,Motion Picture Association of America,FILM
Motion Piecture Association of New Mexico,Motion Picture Association of America,FILM
Motiva Corporation,Motiva Corporation,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Motor Vehicle Protection Product Associtation,Motor Vehicle Protection Product Associtation,TRANSPORTATION
"Motorola Solutions, Inc.","Motorola Solutions, Inc.",TELECOM
Mountain Bus Company Inc.,Mountain Bus Company Inc.,TRANSPORTATION
Mountain Mohogany Community School,Mountain Mohogany Community School,EDUCATION
Mountain States Insurance Group,Mountain States Insurance Group,INSURANCE
MPAA,Motion Picture Association of America,FILM
"Muffoletto Government Relations, LLC","Muffoletto Government Relations, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Multicultural Alliance for a Safe Environment,Multicultural Alliance for a Safe Environment,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Museum of Natural Museum Foundation,Museum of Natural Museum Foundation,ARTS & CULTURE
Museum of New Mexico,Museum of New Mexico,ARTS & CULTURE
Museum of New Mexico - The Foundation ,Museum of New Mexico - The Foundation ,ARTS & CULTURE
Mylan Inc.,Mylan Inc.,HEALTHCARE
Mystic Eye Consulting,Mystic Eye Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
NACA Inspired Schools Network,NACA Inspired Schools Network,EDUCATION
NAIOP: The Commercial Real Estate Dev. Assoc.,NAIOP: The Commercial Real Estate Dev. Assoc.,REAL ESTATE & CONSTRUCTION
Nambe Pueblo Development Corporation,Nambe Pueblo Development Corporation,HEALTHCARE
NAMI New Mexico,NAMI New Mexico,HEALTHCARE
National Alliance for Mentally Ill New Mexico,National Alliance for Mentally Ill New Mexico,HEALTHCARE
National Alliance of Public Charter Schools,National Alliance of Public Charter Schools,EDUCATION
National Alliance on Mental Illness,National Alliance on Mental Illness,HEALTHCARE
National Alliance on Mental Illness New Mexico,National Alliance on Mental Illness New Mexico,HEALTHCARE
National Assn. of Theatre Owners,National Assn. of Theatre Owners,ARTS & CULTURE
"National Assoc. of Insurance & Financial Advisors, NM Chapter","National Assoc. of Insurance & Financial Advisors, NM Chapter",INSURANCE
National Association of Mutual Insurance Companies,National Association of Mutual Insurance Companies,INSURANCE
National Association of Public Insurance Adjusters,National Association of Public Insurance Adjusters,INSURANCE
National Association of Social Workers ,National Association of Social Workers ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
National Association of Surety Bond Producers,National Association of Surety Bond Producers,INSURANCE
National Association of Women Business Owners,National Association of Women Business Owners,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
National Atomic Museum Foundation,National Atomic Museum Foundation,ARTS & CULTURE
National Biodiesel Board,National Biodiesel Board,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
National Board of Professional Teaching Standards,National Board of Professional Teaching Standards,EDUCATION
National Commission on Certification of Physician Assistants,National Commission on Certification of Physician Assistants,HEALTHCARE
National Community Pharmacists Association ,National Community Pharmacists Association ,HEALTHCARE
National Dance Institute ,National Dance Institute of New Mexico,ARTS & CULTURE
National Dance Institute of New Mexico,National Dance Institute of New Mexico,ARTS & CULTURE
National Dist. Co.,National Dist. Co.,"ALCOHOL, CANNABIS, & TOBACCO"
National Education Association New Mexico,National Education Association New Mexico,EDUCATION
National Education Association NM,National Education Association NM,EDUCATION
National Electrical Contractors of Central NM ,National Electrical Contractors of Central NM ,REAL ESTATE & CONSTRUCTION
National Federation of Independent Business,National Federation of Independent Business,ECONOMIC & SUSTAINABLE DEVELOPMENT
National Hispanic Cultural Center,National Hispanic Cultural Center,ARTS & CULTURE
National Latino Behavioral Health Association,National Latino Behavioral HEALTHCARE Association,HEALTHCARE
National Multiple Sclerosis Society,National Multiple Sclerosis Society,HEALTHCARE
National Popular Vote,National Popular Vote,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
National Restaurant Association,National Restaurant Association,"RESTAURANT, FOOD & BEVERAGE "
National Rifle Association of America ,National Rifle Association of America ,"FIREARMS, GUNS & AMMUNITION"
National Shooting Sports Foundation,National Shooting Sports Foundation,"FIREARMS, GUNS & AMMUNITION"
National Trust for Historic Preservation,National Trust for Historic Preservation,ARTS & CULTURE
National Union of Hospital & Healthcare Employees ,National Union of Hospital & HEALTHCARE Employees ,HEALTHCARE
National Utility Contractors Association of NM ,National Utility Contractors Association of NM ,REAL ESTATE & CONSTRUCTION
Native American Voters Alliance,Native American Voters Alliance,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Native Grown, LLC ","Native Grown, LLC ",RANCHING & AGRICULTURE
Native Trading Associates,Native Trading Associates,"ALCOHOL, CANNABIS, & TOBACCO"
Native Women Lead,Native Women Lead,ECONOMIC & SUSTAINABLE DEVELOPMENT
Natural Resources Defense Council,Natural Resources Defense Council,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Natural Rx,Natural Rx,"ALCOHOL, CANNABIS, & TOBACCO"
NAVA Education Project,NAVA Education Project,EDUCATION
Navajo Nation ,Navajo Nation ,TRIBAL GOVERNMENT
Navajo Nation Council,Navajo Nation Council,TRIBAL GOVERNMENT
Navajo Nation Gaming Enterprise,Navajo Nation Gaming Enterprise,CASINO & GAMING
Navajo Nation Gaming Enterprise (NNGE),Navajo Nation Gaming Enterprise (NNGE),CASINO & GAMING
Navajo Nation Office of the President and Vice President,Navajo Nation Office of the President and Vice President,TRIBAL GOVERNMENT
Navajo Preparatory School,Navajo Preparatory School,EDUCATION
Navajo Refining Company,Navajo Refining Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Navajo Technical University,Navajo Technical University,EDUCATION
