Orig_empl,Employer,Interest2
Anderson Abruzzo International Balloon Museum Foun,Anderson Abruzzo International Balloon Museum Foundation,TOURISM
"Andrea Romero Consulting, LLC","Andrea Romero Consulting, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Angel Fire Real Estate LLC,Angel Fire Real Estate LLC,REAL ESTATE & CONSTRUCTION
Angel Fire Resort Managment LLC,Angel Fire Resort Managment LLC,REAL ESTATE & CONSTRUCTION
Anheuser-Busch Companies Inc.,Anheuser-Busch Companies Inc.,"ALCOHOL, CANNABIS, & TOBACCO"
"Anheuser-Busch Companies, Inc.","Anheuser-Busch Companies, Inc.","ALCOHOL, CANNABIS, & TOBACCO"
Animal Protection Voters,Animal Protection Voters,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Animal Protection Voters 2,Animal Protection Voters,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Anthem Inc. and Its Affiliates,Anthem Inc. and Its Affiliates,HEALTHCARE
"Anthem Inc., and Its Affiliates","Anthem Inc., and Its Affiliates",HEALTHCARE
Anthony Water & Sanitation District,Anthony Water & Sanitation District,WATER RESOURCES
Anti-Defamation League,Anti-Defamation League,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Apache Corporation,Apache Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Apartment Association of New Mexico ,Apartment Association of New Mexico ,REAL ESTATE & CONSTRUCTION
"Apollo Group, Inc. / University of Phoenix","Apollo Group, Inc. / University of Phoenix",EDUCATION
Apple Inc.,Apple Inc.,INDUSTRY
Apriss Inc.,Apriss Inc.,INFORMATION TECHNOLOGY
Aqua Pura Water Association,Aqua Pura Water Association,WATER RESOURCES
Arizona Public Service Company,Arizona Public Service Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Arizona/New Mexico Cable Association,Arizona/New Mexico Cable Association,TELECOM
Artesia General Hospital,Artesia General Hospital,HEALTHCARE
Assoc.of Developmental Disabilities Community Providers,Assoc.of Developmental Disabilities Community Providers,HEALTHCARE
ASSOCIA,ASSOCIA,HEALTHCARE
"Associated Builders & Contractors, Inc. NM Chapter","Associated Builders & Contractors, Inc. NM Chapter",REAL ESTATE & CONSTRUCTION
Associated Contractors of New Mexico,Associated Contractors of New Mexico,REAL ESTATE & CONSTRUCTION
Associated General Contractors New Mexico,Associated General Contractors New Mexico,REAL ESTATE & CONSTRUCTION
Associated Students of New Mexico State University,Associated Students of New Mexico State University,EDUCATION
Associated Students of NMSU,Associated Students of NMSU,EDUCATION
Association for Accessible Medicines,Association for Accessible Medicines,HEALTHCARE
Association for Traditional East-Asian Medicine,Association for Traditional East-Asian Medicine,HEALTHCARE
Association of American  Publishers 2,"Association of American Publishers, Inc.","MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
"Association of American Publishers, Inc.","Association of American Publishers, Inc.","MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Association of Commerce and Industry,Association of Commerce and Industry,ECONOMIC & SUSTAINABLE DEVELOPMENT
Association of Commerce and Industry of New Mexico,Association of Commerce and Industry of New Mexico,ECONOMIC & SUSTAINABLE DEVELOPMENT
"Association of Global Automakers, Inc.","Association of Global Automakers, Inc.",TRANSPORTATION
Assurant Inc. ,Assurant Inc. ,INSURANCE
"Astellas Pharma US, Inc.","Astellas Pharma US, Inc.",PHARMACEUTICALS
"Astrazeneca Pharmaceuticals, LP","Astrazeneca Pharmaceuticals, LP",HEALTHCARE
