Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Committee to Re-elect John Sapien,Committee to Re-elect John Sapien,John M. Sapien,
Committee to Re-Elect John Sapien (MERCK) ,Committee to Re-Elect John Sapien (MERCK),John M. Sapien,
Committee to Re-Elect John Sapien (VN) ,Committee to Re-Elect John Sapien (VN),John M. Sapien,
Committee to Re-elect Senator John Sapien,Committee to Re-elect Senator John Sapien,John M. Sapien,
Comte to Elect John Sapien(Ck from Union Pacific),Comte to Elect John Sapien(Ck from Union Pacific),John M. Sapien,
John M. Sapien,John M. Sapien,John M. Sapien,
John Sapien,John Sapien,John M. Sapien,
John Sapien ,John Sapien,John M. Sapien,
John Sapien (Lovelace) ,John Sapien (Lovelace),John M. Sapien,
John Sapien (on behalf of Occidental),John Sapien (on behalf of Occidental),John M. Sapien,
John Sapien Campaign,John Sapien Campaign,John M. Sapien,
John Sapien Campaign (Ace Cash Express) ,John Sapien Campaign (Ace Cash Express),John M. Sapien,
John Sapien DBA John Sapien for NM State Senate,John Sapien DBA John Sapien for NM State Senate,John M. Sapien,
John Sapien for Senate,John Sapien for Senate,John M. Sapien,
John Sapien for Senate (QC Holdings) ,John Sapien for Senate (QC Holdings),John M. Sapien,
John Sapien for Senator,John Sapien for Senator,John M. Sapien,
John Sapien for State Senate,John Sapien for State Senate,John M. Sapien,
John Sapien Re-Elect,John Sapien Re-Elect,John M. Sapien,
Sapien for Senate,Sapien for Senate,John M. Sapien,
"Sapien, J","Sapien, J",John M. Sapien,
Sen John Sapien,Sen John Sapien,John M. Sapien,
Sen John Sapien   Duplicate to Dan Weaks,Sen John Sapien Duplicate to Dan Weaks,John M. Sapien,
Sen John Sapien  Duplicate to Marla Shoats,Sen John Sapien Duplicate to Marla Shoats,John M. Sapien,
Sen. John Sapien,Sen. John Sapien,John M. Sapien,
Sen. John Sapien  (T-Mobile),Sen. John Sapien (T-Mobile),John M. Sapien,
Sen. John Sapien on behalf of Apollo Group/UP,Sen. John Sapien on behalf of Apollo Group/UP,John M. Sapien,
Senator John Sapien,Senator John Sapien,John M. Sapien,
Senator John Sapien Campaign (Cash America) ,Senator John Sapien Campaign (Cash America),John M. Sapien,
Senator John Sapien on behalf of Horizon-Ag,Senator John Sapien on behalf of Horizon-Ag,John M. Sapien,
Senator John Sapien~Duplicate to Dan Weaks,Senator John Sapien~Duplicate to Dan Weaks,John M. Sapien,
Senator John Sapien~Duplicate to Marla Shoats,Senator John Sapien~Duplicate to Marla Shoats,John M. Sapien,
Comte to reelect John Smith(Ck from Union Pacific),Comte to reelect John Smith(Ck from Union Pacific),John M. Smith,
Sen. John Patrick Woods,Sen. John Patrick Woods,John Patrick Woods,
Elect John Zimmerman,Elect John Zimmerman,John Zimmerman,
Rep. John Zimmerman,Rep. John Zimmerman,John Zimmerman,
Elect Joseph Cervantes,Elect Joseph Cervantes,Joseph Cervantes,
CTE Senator Joe Cervantes ,CTE Senator Joe Cervantes,Joseph Cervantes,
CTE Senator Joseph Cervantes,CTE Senator Joseph Cervantes,Joseph Cervantes,
Cervantes,Cervantes,Joseph Cervantes,
Cervantes for Governor,Cervantes for Governor,Joseph Cervantes,
Cervantes for Senate (Axcess Financial ) ,Cervantes for Senate (Axcess Financial ),Joseph Cervantes,
Cervantes Legis Campaign(Ck from Union Pacific),Cervantes Legis Campaign(Ck from Union Pacific),Joseph Cervantes,
"Cervantes, J","Cervantes, J",Joseph Cervantes,
Commiittee to Elect Joe Cervantes,Commiittee to Elect Joe Cervantes,Joseph Cervantes,
Committee to elect Joseph Cervantes,Committee to elect Joseph Cervantes,Joseph Cervantes,
Committee to elect Joseph Cervantes ,Committee to elect Joseph Cervantes,Joseph Cervantes,
Committee to Elect Senator Joseph Cervantes,Committee to Elect Senator Joseph Cervantes,Joseph Cervantes,
Committee to Re Elect Joseph Cervantes,Committee to Re Elect Joseph Cervantes,Joseph Cervantes,
Committee to Re-Elect Joseph Cervantes,Committee to Re-Elect Joseph Cervantes,Joseph Cervantes,
Joe Cervantes,Joe Cervantes,Joseph Cervantes,
Joe Cervantes Committee,Joe Cervantes Committee,Joseph Cervantes,
Joe Cervantes for Governor,Joe Cervantes for Governor,Joseph Cervantes,
Joesph Cervantes,Joesph Cervantes,Joseph Cervantes,
Joseph Cervantes (on behalf of Occidental),Joseph Cervantes (on behalf of Occidental),Joseph Cervantes,
Joseph Cervantes Campaign Fund,Joseph Cervantes Campaign Fund,Joseph Cervantes,
Joseph Cervantes Committee,Joseph Cervantes Committee,Joseph Cervantes,
Joseph Cervantes for Governor,Joseph Cervantes for Governor,Joseph Cervantes,
Joseph Cervantes for Senate,Joseph Cervantes for Senate,Joseph Cervantes,
Joseph Cervantes for Senate (QC Holdings) ,Joseph Cervantes for Senate (QC Holdings),Joseph Cervantes,
Joseph Cervantes for Senator,Joseph Cervantes for Senator,Joseph Cervantes,
Joseph Cervantes for State Senate,Joseph Cervantes for State Senate,Joseph Cervantes,
Joseph Cervantes for tw telecom,Joseph Cervantes for tw telecom,Joseph Cervantes,
Joseph Cervantes Re-Elect,Joseph Cervantes Re-Elect,Joseph Cervantes,
Sen Joe Cervantes,Sen Joe Cervantes,Joseph Cervantes,
Sen Joseph Cervantes,Sen Joseph Cervantes,Joseph Cervantes,
Sen Joseph Cervantes  Duplicate to Dan Weaks,Sen Joseph Cervantes Duplicate to Dan Weaks,Joseph Cervantes,
Sen Joseph Cervantes  Duplicate to Marla Shoats,Sen Joseph Cervantes Duplicate to Marla Shoats,Joseph Cervantes,
Sen. Joseph Cervantes,Sen. Joseph Cervantes,Joseph Cervantes,
Senator Joseph Cervantes,Senator Joseph Cervantes,Joseph Cervantes,
Senator Joseph Cervantes~Duplicate to Dan Weaks,Senator Joseph Cervantes~Duplicate to Dan Weaks,Joseph Cervantes,
Senator Joseph Cervantes~Duplicate to Marla Shoats,Senator Joseph Cervantes~Duplicate to Marla Shoats,Joseph Cervantes,
CTE Joseph Cervantes (Dup to Dan Weaks),CTE Joseph Cervantes (Dup to Dan Weaks),Joseph Cervantez,
CTE Joseph Cervantes (Dup to Marla Shoats),CTE Joseph Cervantes (Dup to Marla Shoats),Joseph Cervantez,
Committee to Elect Joseph Sanchez,Committee to Elect Joseph Sanchez,Joseph L. Sanchez,
Committee to Elect Jospeph Sanchez,Committee to Elect Jospeph Sanchez,Joseph L. Sanchez,
Joesph Sanchez,Joesph Sanchez,Joseph L. Sanchez,
Joseph Sanches for State Representative,Joseph Sanches for State Representative,Joseph L. Sanchez,
Joseph Sanchez,Joseph Sanchez,Joseph L. Sanchez,
Joseph Sanchez ,Joseph Sanchez,Joseph L. Sanchez,
Joseph Sanchez Commitee to Elect,Joseph Sanchez Commitee to Elect,Joseph L. Sanchez,
Joseph Sanchez Committee,Joseph Sanchez Committee,Joseph L. Sanchez,
Joseph Sanchez for Congress,Joseph Sanchez for Congress,Joseph L. Sanchez,
Joseph Sanchez for New Mexico,Joseph Sanchez for New Mexico,Joseph L. Sanchez,
Joseph Sanchez for NM,Joseph Sanchez for NM,Joseph L. Sanchez,
Sanchez,Sanchez,Joseph L. Sanchez,
Sanchez for Senate (Axcess Financial) ,Sanchez for Senate (Axcess Financial),Joseph L. Sanchez,
"Sanchez, C","Sanchez, C",Joseph L. Sanchez,
"Sanchez, Clemente","Sanchez, Clemente",Joseph L. Sanchez,
"Sanchez, J","Sanchez, J",Joseph L. Sanchez,
Senator Joshua Sanchez,Senator Joshua Sanchez,Joseph L. Sanchez,
Elect Joseph Sanchez,Elect Joseph Sanchez,Joseph L. Sanchez,
Rep Joseph Sanchez,Rep Joseph Sanchez,Joseph L. Sanchez,
Rep. Joseph Sanchez,Rep. Joseph Sanchez,Joseph L. Sanchez,
Rep. Joy Garrat,Rep. Joy Garrat,Joy Garratt,
Committee to Elect Joy Garrat ,Committee to Elect Joy Garrat,Joy Garratt,
Committee to Elect Joy Garratt,Committee to Elect Joy Garratt,Joy Garratt,
Committee to Elect Joy Garrett,Committee to Elect Joy Garrett,Joy Garratt,
Committee to Re-elect Joy Garratt,Committee to Re-elect Joy Garratt,Joy Garratt,
Joy Garett,Joy Garett,Joy Garratt,
Joy Garralt,Joy Garralt,Joy Garratt,
Joy Garrat,Joy Garrat,Joy Garratt,
Joy Garratt,Joy Garratt,Joy Garratt,
Joy Garratt ,Joy Garratt,Joy Garratt,
Joy Garratt Committee to Elect,Joy Garratt Committee to Elect,Joy Garratt,
Joy Garratt for Representative,Joy Garratt for Representative,Joy Garratt,
Joy Garret,Joy Garret,Joy Garratt,
Joy Garrett,Joy Garrett,Joy Garratt,
Joy Garrett Committee,Joy Garrett Committee,Joy Garratt,
Joy Garrett for Representative,Joy Garrett for Representative,Joy Garratt,
Joye Garratt,Joye Garratt,Joy Garratt,
Re-elect Joy Garratt,Re-elect Joy Garratt,Joy Garratt,
Rep Joy Garratt,Rep Joy Garratt,Joy Garratt,
Rep. Joy Garratt,Rep. Joy Garratt,Joy Garratt,
Representative Joy Garrett,Representative Joy Garrett,Joy Garrett,
CTE Rep. Joy Garratt,CTE Rep. Joy Garratt,Joy Garrett,
Rep. Karen Bash,Rep. Karen Bash,Karen C. Bash,
CTE Rep. Karen Bash,CTE Rep. Karen Bash,Karen C. Bash,
Re-Elect Karen Bash,Re-Elect Karen Bash,Karen C. Bash,
State Rep. Karen Bash,State Rep. Karen Bash,Karen C. Bash,
"Bash, K","Bash, K",Karen C. Bash,
Committee to Elect Karen C. Bash,Committee to Elect Karen C. Bash,Karen C. Bash,
Committee to Elect Representative Karen C. Bash,Committee to Elect Representative Karen C. Bash,Karen C. Bash,
Committee to Re-elect Karen Bash,Committee to Re-elect Karen Bash,Karen C. Bash,
Karen Bash,Karen Bash,Karen C. Bash,
Karen Bash ,Karen Bash,Karen C. Bash,
Karen Bash for New Mexico,Karen Bash for New Mexico,Karen C. Bash,
Karen Bash for NM House,Karen Bash for NM House,Karen C. Bash,
Rep. Kelly Farjardo (In-Kind),Rep. Kelly Farjardo (In-Kind),Kelly K. Fajardo,
Rep. Kelley Fajardo,Rep. Kelley Fajardo,Kelly K. Fajardo,
"Rep Kelly Fajardo, House","Rep Kelly Fajardo, House",Kelly K. Fajardo,1
Elect Kelly Fajardo,Elect Kelly Fajardo,Kelly K. Fajardo,
Representative Kelly Fajardo,Representative Kelly Fajardo,Kelly K. Fajardo,
Representative Kelly Fajardo ,Representative Kelly Fajardo,Kelly K. Fajardo,
Re-elect Kelly Fajardo,Re-elect Kelly Fajardo,Kelly K. Fajardo,
Rep Kelly Fajardo,Rep Kelly Fajardo,Kelly K. Fajardo,
Rep. Kelly Fajardo,Rep. Kelly Fajardo,Kelly K. Fajardo,
Rep. Kelly Fajardo ,Rep. Kelly Fajardo ,Kelly K. Fajardo,
Rep. Kelly Farjardo on behalf of Occidental,Rep. Kelly Farjardo on behalf of Occidental,Kelly K. Fajardo,
Rep. Kelly Fajardo's Birthday,Rep. Kelly Fajardo's Birthday,Kelly K. Fajardo,
CTE Kelly Fajardo (Dup to Dan Weaks),CTE Kelly Fajardo (Dup to Dan Weaks),Kelly K. Fajardo,
CTE Kelly Fajardo (Dup to Marla Shoats),CTE Kelly Fajardo (Dup to Marla Shoats),Kelly K. Fajardo,
CTE Kelly Fajardo (Dup to Marla Shoats)),CTE Kelly Fajardo (Dup to Marla Shoats)),Kelly K. Fajardo,
Rep Kelly Fajardo    Duplicate to Dan Weaks,Rep Kelly Fajardo Duplicate to Dan Weaks,Kelly K. Fajardo,
Rep Kelly Fajardo Duplicate to Dan Weaks,Rep Kelly Fajardo Duplicate to Dan Weaks,Kelly K. Fajardo,
Rep Kelly Fajardo  Duplicate to Marla Shoats,Rep Kelly Fajardo Duplicate to Marla Shoats,Kelly K. Fajardo,
Rep Kelly Fajardo (Duplicate to Dan Weaks),Rep Kelly Fajardo (Duplicate to Dan Weaks),Kelly K. Fajardo,
Rep Kelly Fajardo (Duplicate to Marla Shoats),Rep Kelly Fajardo (Duplicate to Marla Shoats),Kelly K. Fajardo,
CTE Rep Kelly Fajardo,CTE Rep Kelly Fajardo,Kelly K. Fajardo,
CTE Rep. Kelly Fajardo,CTE Rep. Kelly Fajardo,Kelly K. Fajardo,
CTE Rep. Kelly Fajardo ,CTE Rep. Kelly Fajardo,Kelly K. Fajardo,
Friends of Kelly Fajardo (NMIFA-Royal Management),Friends of Kelly Fajardo (NMIFA-Royal Management),Kelly K. Fajardo,
Rep Kelly K. Fajardo,Rep Kelly K. Fajardo,Kelly K. Fajardo,
Committe to Elect Kelly Fajardo,Committe to Elect Kelly Fajardo,Kelly K. Fajardo,
Committee to Elect Kelly Fajardo,Committee to Elect Kelly Fajardo,Kelly K. Fajardo,
Committee to Elect Kelly Fajardo ,Committee to Elect Kelly Fajardo,Kelly K. Fajardo,
Committee to Elect Kelly Fajardo (State Rep.),Committee to Elect Kelly Fajardo (State Rep.),Kelly K. Fajardo,
Committee to Elect Kelly Fajardo (VNB) ,Committee to Elect Kelly Fajardo (VNB),Kelly K. Fajardo,
Committee to Elect Kelly Fajardo(Golf Tournament),Committee to Elect Kelly Fajardo(Golf Tournament),Kelly K. Fajardo,
Committee to Re-elect Kelly Fajardo,Committee to Re-elect Kelly Fajardo,Kelly K. Fajardo,
Committee to Re-Elect Kelly Fajardo ,Committee to Re-Elect Kelly Fajardo,Kelly K. Fajardo,
Committee to Re-Elect Kelly K. Fajardo,Committee to Re-Elect Kelly K. Fajardo,Kelly K. Fajardo,
Kelley Fajardo,Kelley Fajardo,Kelly K. Fajardo,
Kelley Fajardo ,Kelley Fajardo,Kelly K. Fajardo,
KELLY D. FAJARDO,KELLY D. FAJARDO,Kelly K. Fajardo,
Kelly Fajardo,Kelly Fajardo,Kelly K. Fajardo,
Kelly Fajardo ,Kelly Fajardo,Kelly K. Fajardo,
kelly Fajardo (client),kelly Fajardo (client),Kelly K. Fajardo,
Kelly Fajardo / Alonzo Baldonado,Kelly Fajardo / Alonzo Baldonado,Kelly K. Fajardo,
Kelly Fajardo Campaign,Kelly Fajardo Campaign,Kelly K. Fajardo,
Kelly Fajardo Campaign (Farmers Insurance),Kelly Fajardo Campaign (Farmers Insurance),Kelly K. Fajardo,
Kelly Fajardo Committee,Kelly Fajardo Committee,Kelly K. Fajardo,
Kelly Fajardo for House (QC Holdings) ,Kelly Fajardo for House (QC Holdings),Kelly K. Fajardo,
Kelly Fajardo for NM House,Kelly Fajardo for NM House,Kelly K. Fajardo,
Kelly Fajardo for Representative,Kelly Fajardo for Representative,Kelly K. Fajardo,
Kelly Fajardo for Ruidoso Down Racing,Kelly Fajardo for Ruidoso Down Racing,Kelly K. Fajardo,
Kelly Fajardo for tw telecom,Kelly Fajardo for tw telecom,Kelly K. Fajardo,
Kelly Fajardo for WPX Energy,Kelly Fajardo for WPX Energy,Kelly K. Fajardo,
Kelly Fajardo on behalf of Encana,Kelly Fajardo on behalf of Encana,Kelly K. Fajardo,
Kelly Fajardo on behalf of Molina,Kelly Fajardo on behalf of Molina,Kelly K. Fajardo,
Kelly Fajardo Re-Elect,Kelly Fajardo Re-Elect,Kelly K. Fajardo,
Kelly Farjardo (for Isleta Pueblo),Kelly Farjardo (for Isleta Pueblo),Kelly K. Fajardo,
Kelly K Fajardo,Kelly K Fajardo,Kelly K. Fajardo,
Kelly K Farjardo,Kelly K Farjardo,Kelly K. Fajardo,
Kelly K. Fajardo,Kelly K. Fajardo,Kelly K. Fajardo,
Kelly K. Fajardo ,Kelly K. Fajardo,Kelly K. Fajardo,
Kelly K. Fargardo,Kelly K. Fargardo,Kelly K. Fajardo,
Rep. Kely Farjardo,Rep. Kely Farjardo,Kelly K. Fajardo,
Representative Larry Larranaga,Representative Larry Larranaga,Larry A. LarraÃ±aga,
CTE Rep. Larry Larranaga,CTE Rep. Larry Larranaga,Larry A. LarraÃ±aga,
Re-elect Larry Larranaga,Re-elect Larry Larranaga,Larry A. LarraÃ±aga,
Committee to Elect Larry Larranaga,Committee to Elect Larry Larranaga,Larry A. LarraÃ±aga,
Committee to Re-Elect Larry Larraï¿½aga,Committee to Re-Elect Larry Larraï¿½aga,Larry A. LarraÃ±aga,
Committee to Re-Elect Larry Larranaga,Committee to Re-Elect Larry Larranaga,Larry A. LarraÃ±aga,
Larranaga for Rep(Ck from Union Pacific),Larranaga for Rep(Ck from Union Pacific),Larry A. LarraÃ±aga,
Larranaga for State Representative,Larranaga for State Representative,Larry A. LarraÃ±aga,
Larranega for State Representative,Larranega for State Representative,Larry A. LarraÃ±aga,
Larry A. Larraï¿½aga  Re-Elect,Larry A. Larraï¿½aga Re-Elect,Larry A. LarraÃ±aga,
Larry Laranaga,Larry Laranaga,Larry A. LarraÃ±aga,
Larry Larraï¿½aga,Larry Larraï¿½aga,Larry A. LarraÃ±aga,
Larry Larranaga,Larry Larranaga,Larry A. LarraÃ±aga,
Larry Larranaga ,Larry Larranaga,Larry A. LarraÃ±aga,
Larry Larranaga (Lovelace) ,Larry Larranaga (Lovelace),Larry A. LarraÃ±aga,
Larry Larranaga Campaign Fund,Larry Larranaga Campaign Fund,Larry A. LarraÃ±aga,
Larry Larranaga for State Representative,Larry Larranaga for State Representative,Larry A. LarraÃ±aga,
Larry Larranaga on behalf of Molina,Larry Larranaga on behalf of Molina,Larry A. LarraÃ±aga,
Larry Larranga,Larry Larranga,Larry A. LarraÃ±aga,
Larry Larrangaga,Larry Larrangaga,Larry A. LarraÃ±aga,
Larry Larrangaga for House,Larry Larrangaga for House,Larry A. LarraÃ±aga,
Rep. Larry Larranaga    CCA,Rep. Larry Larranaga CCA,Larry Larranaga,
Rep Larry Larranaga~Duplicate to Dan Weaks,Rep Larry Larranaga~Duplicate to Dan Weaks,Larry Larranaga,
Rep Larry Larranaga~Duplicate to Marla Shoats,Rep Larry Larranaga~Duplicate to Marla Shoats,Larry Larranaga,
Rep Larry Larranaga,Rep Larry Larranaga,Larry Larranaga,
Rep. Larry Larranaga,Rep. Larry Larranaga,Larry Larranaga,
Rep. Larry Larranaga  (T-Mobile),Rep. Larry Larranaga (T-Mobile),Larry Larranaga  ,
Rep Larry Larranga,Rep Larry Larranga,Larry Larranga,
Committee to Elect Larry R Scott,Committee to Elect Larry R Scott,Larry R. Scott,
Committee to Elect Larry R. Scott,Committee to Elect Larry R. Scott,Larry R. Scott,
Committee to Elect Larry Scott,Committee to Elect Larry Scott,Larry R. Scott,
Committee to Elect Larry Scott (State Rep.),Committee to Elect Larry Scott (State Rep.),Larry R. Scott,
Committee to Re-elect Larry Scott,Committee to Re-elect Larry Scott,Larry R. Scott,
Larry R. Scott,Larry R. Scott,Larry R. Scott,
Larry R. Scott ,Larry R. Scott,Larry R. Scott,
Larry Scott,Larry Scott,Larry R. Scott,
Larry Scott ,Larry Scott,Larry R. Scott,
Larry Scott Campaign (RAI),Larry Scott Campaign (RAI),Larry R. Scott,
Larry Scott Committee,Larry Scott Committee,Larry R. Scott,
"Scott, L","Scott, L",Larry R. Scott,
Representative Larry Scott,Representative Larry Scott,Larry R. Scott,
Rep Larry Scott  Duplicate to Dan Weaks,Rep Larry Scott Duplicate to Dan Weaks,Larry R. Scott,
Rep Larry Scott  Duplicate to Marla Shoats,Rep Larry Scott Duplicate to Marla Shoats,Larry R. Scott,
Rep Larry Scott,Rep Larry Scott,Larry R. Scott,
Rep. Larry Scott,Rep. Larry Scott,Larry R. Scott,
CTE Senator Lee S. Cotter,CTE Senator Lee S. Cotter,Lee S. Cotter,
Committee to Elect Lee S. Cotter,Committee to Elect Lee S. Cotter,Lee S. Cotter,
Committee to Re-elect Lee Cotter,Committee to Re-elect Lee Cotter,Lee S. Cotter,
Committee to re-elect Lee S. Cotter,Committee to re-elect Lee S. Cotter,Lee S. Cotter,
Lee Cotter,Lee Cotter,Lee S. Cotter,
Lee Cotter ,Lee Cotter,Lee S. Cotter,
Lee Cotter (Client),Lee Cotter (Client),Lee S. Cotter,
"Lee Cotter , Rep ","Lee Cotter , Rep",Lee S. Cotter,
Lee Cotter Committee,Lee Cotter Committee,Lee S. Cotter,
Lee Cotter for Senate,Lee Cotter for Senate,Lee S. Cotter,
Lee Cotter for Senator,Lee Cotter for Senator,Lee S. Cotter,
Lee Cotter for State Senate,Lee Cotter for State Senate,Lee S. Cotter,
Lee S Cotter,Lee S Cotter,Lee S. Cotter,
Lee S. Cotter,Lee S. Cotter,Lee S. Cotter,
 Lee S. Cotter Re-Elect ,Lee S. Cotter Re-Elect,Lee S. Cotter,
Sen Lee Cotter,Sen Lee Cotter,Lee S. Cotter,
Sen Lee Cotter  Duplicate to Dan Weaks,Sen Lee Cotter Duplicate to Dan Weaks,Lee S. Cotter,
Sen Lee Cotter   Duplicate to Marla Shoats,Sen Lee Cotter Duplicate to Marla Shoats,Lee S. Cotter,
Sen.  Lee Cotter ,Sen. Lee Cotter,Lee S. Cotter,
Sen. Lee Cotter,Sen. Lee Cotter,Lee S. Cotter,
Senator Lee Cotter,Senator Lee Cotter,Lee S. Cotter,
Senator Lee S Cotter~Duplicate to Dan Weaks,Senator Lee S Cotter~Duplicate to Dan Weaks,Lee S. Cotter,
Senator Lee S. Cotter~Duplicate to Marla Shoats,Senator Lee S. Cotter~Duplicate to Marla Shoats,Lee S. Cotter,
Committee to Elect Senator Linda M. Lopez,Committee to Elect Senator Linda M. Lopez,Linda M. Lopez,
Committee to Re-elect Linda Lopez,Committee to Re-elect Linda Lopez,Linda M. Lopez,
Committee to Re-Elect Linda Lopez (Cash America) ,Committee to Re-Elect Linda Lopez (Cash America),Linda M. Lopez,
Linda Lopez,Linda Lopez,Linda M. Lopez,
Linda Lopez (client),Linda Lopez (client),Linda M. Lopez,
Linda Lopez (Lovelace) ,Linda Lopez (Lovelace),Linda M. Lopez,
Linda Lopez Committee,Linda Lopez Committee,Linda M. Lopez,
Linda Lopez for Governor,Linda Lopez for Governor,Linda M. Lopez,
Linda Lopez for Senate (QC Holdings) ,Linda Lopez for Senate (QC Holdings),Linda M. Lopez,
Linda Lopez for Senator,Linda Lopez for Senator,Linda M. Lopez,
Linda Lopez for State Senate,Linda Lopez for State Senate,Linda M. Lopez,
Sen Linda Lopez   Duplicate to Dan Weaks,Sen Linda Lopez Duplicate to Dan Weaks,Linda M. Lopez,
Sen Linda Lopez  Duplicate to Marla Shoats,Sen Linda Lopez Duplicate to Marla Shoats,Linda M. Lopez,
Sen. Linda Lopez,Sen. Linda Lopez,Linda M. Lopez,
Sen. Linda Lopez ,Sen. Linda Lopez,Linda M. Lopez,
Senator Linda Lopez,Senator Linda Lopez,Linda M. Lopez,
Senator Linda Lopez~Duplicate to Dan Weaks,Senator Linda Lopez~Duplicate to Dan Weaks,Linda M. Lopez,
Senator Linda Lopez~Duplicate to Marla Shoats,Senator Linda Lopez~Duplicate to Marla Shoats,Linda M. Lopez,
senatorLinda Lopez ,senatorLinda Lopez,Linda M. Lopez,
Committee to Elect Linda Trujillo,Committee to Elect Linda Trujillo,Linda M. Trujillo,
Committee to Re-elect Linda Trujillo,Committee to Re-elect Linda Trujillo,Linda M. Trujillo,
Linda M. Trujillo,Linda M. Trujillo,Linda M. Trujillo,
Linda Trujilllo,Linda Trujilllo,Linda M. Trujillo,
Linda Trujillo,Linda Trujillo,Linda M. Trujillo,
Linda Trujillo ,Linda Trujillo,Linda M. Trujillo,
Representative Linda Trujillo,Representative Linda Trujillo,Linda M. Trujillo,
CTE Rep Linda Trujillo (Duplicate to Dan Weaks),CTE Rep Linda Trujillo (Duplicate to Dan Weaks),Linda M. Trujillo,
CTE Rep Linda Trujillo (Duplicate to Marla Shoats),CTE Rep Linda Trujillo (Duplicate to Marla Shoats),Linda M. Trujillo,
Rep. Linda Trujillo,Rep. Linda Trujillo,Linda M. Trujillo,
Friends for Linda Stover,Friends for Linda Stover,Linda Stover,
Committee to Elect 2016 Lisa Torraco Campaign,Committee to Elect 2016 Lisa Torraco Campaign,Lisa A. Torraco,
Committee to Elect Lisa Torraco,Committee to Elect Lisa Torraco,Lisa A. Torraco,
Committee to re-elect Lisa Torraco,Committee to re-elect Lisa Torraco,Lisa A. Torraco,
Lisa A. Torraco,Lisa A. Torraco,Lisa A. Torraco,
Lisa Torrace,Lisa Torrace,Lisa A. Torraco,
Lisa Torraco,Lisa Torraco,Lisa A. Torraco,
Lisa Torraco ,Lisa Torraco,Lisa A. Torraco,
Lisa Torraco (client),Lisa Torraco (client),Lisa A. Torraco,
Lisa Torraco (for Isleta Pueblo),Lisa Torraco (for Isleta Pueblo),Lisa A. Torraco,
Lisa Torraco Campaign,Lisa Torraco Campaign,Lisa A. Torraco,
Lisa Torraco Committee,Lisa Torraco Committee,Lisa A. Torraco,
"Lisa Torraco for Indian Pueblo Marketing, Inc","Lisa Torraco for Indian Pueblo Marketing, Inc",Lisa A. Torraco,
Lisa Torraco for Senate (QC Holdings) ,Lisa Torraco for Senate (QC Holdings),Lisa A. Torraco,
Lisa Torraco for Senator,Lisa Torraco for Senator,Lisa A. Torraco,
Lisa Torraco for tw telecom,Lisa Torraco for tw telecom,Lisa A. Torraco,
Sen Lisa Torraco ,Sen Lisa Torraco,Lisa A. Torraco,
Sen Lisa Torraco  Duplicate to Dan Weaks,Sen Lisa Torraco Duplicate to Dan Weaks,Lisa A. Torraco,
Sen Lisa Torraco  Duplicate to Marla Shoats,Sen Lisa Torraco Duplicate to Marla Shoats,Lisa A. Torraco,
Sen Torraco for Senate,Sen Torraco for Senate,Lisa A. Torraco,
Sen. Lisa Torraco,Sen. Lisa Torraco,Lisa A. Torraco,
Sen. Lisa Turraco,Sen. Lisa Turraco,Lisa A. Torraco,
Senator Lisa Torracco,Senator Lisa Torracco,Lisa A. Torraco,
Senator Lisa Torraco,Senator Lisa Torraco,Lisa A. Torraco,
Rep Lisa Torraco~Duplicate to Marla Shoats,Rep Lisa Torraco~Duplicate to Marla Shoats,Lisa A. Torraco,
Representative Lisa Torraco~Duplicate to Dan Weaks,Representative Lisa Torraco~Duplicate to Dan Weaks,Lisa A. Torraco,
Comte to Reelect Sen Torraco(Ck from Union Pacific,Comte to Reelect Sen Torraco(Ck from Union Pacific,Lisa A. Torraco,
Torraco for State Senate (VNB),Torraco for State Senate (VNB),Lisa A. Torraco,
CTE Senator Lisa Toracco,CTE Senator Lisa Toracco,Lisa A. Torraco,
"Luciano ""Lucky"" Varela","Luciano ""Lucky"" Varela",Luciano Lucky Varela,
"Luciano ""Lucky"" Varela Campaign Fund","Luciano ""Lucky"" Varela Campaign Fund",Luciano Lucky Varela,
Luciano (Lucky) Varela,Luciano (Lucky) Varela,Luciano Lucky Varela,
Luciano Varela,Luciano Varela,Luciano Lucky Varela,
Lucky Varela,Lucky Varela,Luciano Lucky Varela,
Lucky Varela for tw telecom,Lucky Varela for tw telecom,Luciano Lucky Varela,
Lucky Varela Re-Election Committee ,Lucky Varela Re-Election Committee,Luciano Lucky Varela,
Rep. Lucky Varela     CCA,Rep. Lucky Varela CCA,Luciano Lucky Varela,
Representative Luciano Varela,Representative Luciano Varela,Luciano Lucky Varela,
Rep Luciano Varela~Duplicate to Dan Weaks,Rep Luciano Varela~Duplicate to Dan Weaks,Luciano Lucky Varela,
Rep Luciano Varela~Duplicate to Marla Shoats,Rep Luciano Varela~Duplicate to Marla Shoats,Luciano Lucky Varela,
Rep. Lucky Varela,Rep. Lucky Varela,Luciano Lucky Varela,
Rep. Marian Mathews,Rep. Marian Mathews,Marian Matthews,
Representative Marian Matthews,Representative Marian Matthews,Marian Matthews,
Committee to Elect Representative Marian Matthews,Committee to Elect Representative Marian Matthews,Marian Matthews,
Marian Mathews,Marian Mathews,Marian Matthews,
Marian Mathews for HD27,Marian Mathews for HD27,Marian Matthews,
Marian Matthews,Marian Matthews,Marian Matthews,
